python,英 [paθn]美 [paθɑn],n. 巨蛇，大蟒;
example,英 [gzɑ:mpl]美 [gzmpl],n. 例子; 范例; 榜样; 先例; vt. 作为…的例子; 为…做出榜样; vi. 举例; 作为…
class,英 [klɑ:s]美 [kls],n. 班; 阶级; 等级; 种类; vt. 把…归入某等级，把…看作（或分类、归类）; 把…编入某一
name,英 [nem]美 [nem],n. 名字; 名声; 有…名称的; 著名的人物; vt. 确定; 决定; 给…取名; 说出…的名字;
function,英 [fkn]美 [fkn],n. 功能，作用; 应变量，函数; 职务; 重大聚会; vi. 有或起作用; 行使职责;
can,英 [kn]美 [kn],aux. 可以; 能; 能够; 可能; vt. 将…装入密封罐中保存; n. 罐头; （用金属或塑料
from,英 [frm]美 [frm],prep. （表示时间）从…; （表示原因）因为; （表示来源）来自…; （表示分离）与…分离[隔开
data,"英 [det]美 [det, dt, dɑt]",n. 资料，材料; datum的复数; [计算机]数据，资料; 从科学实验中提取的价值;
code,英 [kd]美 [kod],n. 法典; 行为准则; 代码，密码; 信号; vt. 将…译成电码; 编码，加密; vi. 为…编
use,英 [ju:s]美 [jus],n. 使用; 使用权; 功能; v. 使用; 运用; 消耗; 服用;
return,英 [rt:n]美 [rtrn],v. 回转，返回; 复发，又来; 送还; 言归正传; n. 归来，返乡; 来回，汇成; 赢利; 统计
file,英 [fal]美 [fal],vt. 提出（离婚诉讼或其他讼案）; 把…归档; 用锉锉; 发稿，寄给报社; vi. 发送（报道给报
import,英 [mp:t]美 [mprt],n. 输入; 进口，进口商品; 重要性; 意义; vt. 输入，进口; 对…有重大关系; 意味着; 
print,英 [prnt]美 [prnt],n. （由底片印出的）照片; 印刷字体; 印痕; 印成的图画; vt. （在松软的表面）压印; 把…
value,英 [vlju:]美 [vlju],n. 价值，价格; 意义，涵义; 重要性; （邮票的）面值; vt. 评价; 重视，看重; 估价，给
will,英 [wl]美 [wl],n. 愿意; 意志（力）; [法]遗嘱; vt. 决心要; 将（财产等）遗赠某人; 用意志力驱使（某
method,英 [meθd]美 [mθd],n. 方法; 条理;
object,英 [bdkt]美 [ɑbdekt],n. 物体; 目标; 宾语; 客体，对象; vi. 不赞成，反对; 抱反感; vt. 提出…作反对的
module,英 [mdju:l]美 [mɑdul],n. 模块; 组件; （宇宙飞船上各个独立的）舱; 测量流水等的单位;
list,英 [lst]美 [lst],n. 清单，目录; 倾斜; 布边，布头; 狭条; vt. 列出，列入; 把…编列成表; 记入名单内;
array,英 [re]美 ['re],n. 数组; 队列，阵列; 一大批; 衣服; vt. 排列; 部署兵力; 打扮，装饰;
more,"英 [m:(r)]美 [mr, mor]",adv. 更，更多; 达到或处于更大的范围或程度; 此外，更加; adj. 更多的; (many)的
type,英 [tap]美 [tap],n. 类型; 铅字; （印刷或打印的）文字; 于…类型的; vt.& vi. 打字; vt. [医学
like,英 [lak]美 [lak],vt. 喜欢; （与 would 或 should 连用表示客气）想; 想要; 喜欢做; prep.
py,英 ['pa]美 ['pa],abbr. Paraguay 巴拉圭;
get,英 [get]美 [ɡt],vt. 得到; 抓住; 说服; 受到（惩罚等）; vt.& vi. 到达，来; vi. 成为; 开始
string,英 [str]美 [str],n. 串; 绳子，带子; 线丝，植物纤维; [计算机科学]字符串; vt. 上弦，调弦; 使排成一行
used,英 [ju:st]美 [just],adj. 用过的; 习惯于; 二手的; 旧的; v. 使用（ use的过去式和过去分词）; 常常，经
first,英 [f:st]美 [frst],n. 第一，最初; 头等; 一号，; [乐]高音部; adv. 首次; 最早，最初; 宁愿; 优先;
see,英 [si:]美 [si],vt.& vi. 看见; 查看; 领会，理解; 参观; n. 主教教区; 主教权限; 牧座;
line,英 [lan]美 [lan],n. 线条; 排; 行列; 界线; vt. 排队; 用线标出; 沿…排列成行; 给…安衬里; vi.
true,英 [tru:]美 [tru],adj. 真正的; 真实的; 正确的; 忠实的; adv. 真正地; 确实地; 正确地; 正当地; 
instance,英 [nstns]美 [nstns],n. 情况; 例子，实例; 要求，建议; [法]诉讼手续; vt. 举…为例;
here,英 [h(r)]美 [hr],adv. 在这里; 这时; 在这一点上; （给某人东西或指出某物时说）; n. 这里; int. 喂
text,英 [tekst]美 [tkst],n. 文本，原文; 课文，教科书; 主题; 版本; v. 发短信;
want,英 [wnt]美 [wɑnt],v. 想要; 希望; 打算; 需要…在场; n. 需要的东西; 缺少; 贫穷;
add,英 [d]美 [d],vt. 增加; 补充; 附带说明; 把…包括在内; vi. 增加; 做加法; 累积而成; 扩大; n
set,英 [set]美 [st],vt. 设置; 放置，安置; 使处于某种状况; 摆放餐具; vi. 落山; 出发; 凝结; n. 集
only,英 [nli]美 [onli],adj. 唯一的; 仅有的; 最好的，最适当的; adv. 只，仅仅; 结果却，不料; conj. 
make,英 [mek]美 [mek],vt. 做，制造; 生产，制定; 使成为; 使产生; vi. 开始; 尝试; 行进; 增大; n. 
run,英 [rn]美 [rn],vt.& vi. 跑; 移动; （使）流动; n. 奔跑; 行程; 放映期; 一系列; vi. 逃跑
do,英 [du]美 [du],aux. 构成疑问句和否定句; 代替动词; 用于加强语气; vt. 做; 干; 进行; 从事; vi
call,英 [k:l]美 [kl],v. 打电话给; 呼唤，喊叫; 召唤，叫来，召集; 下令，命令; n. 喊叫，大声喊; 电话联络; 
need,英 [ni:d]美 [nid],vt. 需要; 必须; aux. 必须; 不得不; n. 需要; 需要的东西; 责任; 贫穷; vi
stack,英 [stk]美 [stk],n. 垛，干草堆; （一排）烟囱; 层积; 整个的藏书架排列; vt.& vi. 堆成堆，垛; 堆起
so,英 [s]美 [so],adv. 这样; 很; （表示程度）这么; 同样; conj. （表示因果关系）因此; （表示目的）
spam,英 [spm]美 [spm],n. 垃圾邮件; 香火腿; （斯帕姆）午餐肉; （非索要的）电邮广告; vt. 向…发送垃圾函件;
problem,英 [prblm]美 [prɑblm],n. 问题; 疑难问题; 习题; 引起麻烦的人; adj. 成问题的; 难处理的; 关于社会问题的;
key,英 [ki:]美 [ki],n. 钥匙; （打字机等的）键; 关键，线索，秘诀; （音乐的）调; vt. 键入; 锁上; 调节…
user,英 [ju:z(r)]美 [juz],n. 用户，使用者; 吸毒成瘾者;
there,英 [e(r)]美 [er],"adv. 那里; 在那里; 在那一点上; pron. 表示某物或某人的存在或某事的发生（常用作be,"
chapter,英 [tpt(r)]美 [tpt],n. 章，回; （俱乐部、协会等的）分会; 人生或历史上的重要时期; vt. 把…分成章节;
documentation,英 [dkjumenten]美 [dɑkjumenten],n. 记录; 证明某事属实的证据; 参考资料; 文献的编集，文件分类;
false,英 [f:ls]美 [fls],adj. 虚伪的; 不正的，非法的; 假造的，摹造的; 临时的; adv. 欺诈地; 叛卖地;
last,英 [lɑ:st]美 [lst],n. 最后; 末尾; 上个; 鞋楦（做鞋的模型）; vt. 经受住; 到…之后; 够用; 足够维持（
point,英 [pnt]美 [pnt],n. 点; 要点; 得分; 标点; vt. （意思上）指向; 削尖; 加标点于; 指路; vi. 指
result,英 [rzlt]美 [rzlt],n. 结果; （尤指足球比赛的）胜利; [体]比分; 成功实现的事; vi. 发生，产生; 归结为，
path,英 [pɑ:θ]美 [pθ],n. 小路，路; 路线，路程; 〈比喻〉（人生的）道路; （思想，行为，生活的）途径;
same,英 [sem]美 [sem],adj. 同一的; 相同的，同样的; pron. 同一事物; 同样的人; （和…）同样的事物; （数
request,英 [rkwest]美 [rkwst],n. 要求; 需要; 所请求的事物; 申请书; vt. （下级对上级的）请求; 请求得到; 索取; 
default,英 [df:lt]美 [dflt],vi. 未履行任务或责任; 受传唤时未出庭; 由于不到庭而败诉; 弃权; vt. 未履行，拖欠; 未
number,英 [nmb(r)]美 [nmb],n. 数量; 号码; 数字; 编号; v. 标号; 总计; 把…算作;
how,英 [ha]美 [ha],adv. 怎样; 健康状况如何; 到何种地步; 以任何方式; n. 方式; 方法;
format,英 [f:mt]美 [frmt],n. （出版物的）版式; [自]（数据安排的）形式; 电视节目的总安排（或计划）; vt. 使格式化
create,英 [kriet]美 [kriet],vt. 产生; 创造，创作; 封爵，把…封为（贵族）; vi. [英][俚]大发脾气，大发牢骚;
item,英 [atm]美 [atm],n. 项目; 条，条款; 一则; 一件商品（或物品）; adv. 又，同上;
up,英 [p]美 [p],adv. 在上面，在高处; 起床，起来; 向上; 由低到高; adj. 向上的; 上升的; 竖立的，
argument,英 [ɑ:gjumnt]美 [ɑrgjumnt],n. 论据; 争论，争吵; [数]幅角; 主题，情节;
most,英 [mst]美 [most],adv. 最，最多（大）; much的最高级; 非常，很; 几乎; adj. many的最高级; 最
node,英 [nd]美 [nod],n. 节点; （计算机网络的）节点; [医]结节; 植物的节;
write,英 [rat]美 [rat],vt.& vi. 写; 写信; 写作; 作曲;
might,英 [mat]美 [mat],aux. 表示可能; 表示许可; 表示询问情况; n. 力气; 力量; 威力; 权力; v. 可以;
re,英 [re]美 [re],prep. 关于; n. [化]元素铼（rhenium）的符号，铼;
attribute,英 [trbju:t]美 [trbjut],vt. 认为…是; 把…归于; 把…品质归于某人; 认为某事[物]属于某人[物]; n. 属性; （
may,英 [me]美 [me],aux. 可以; 会; 也许; 但愿; n. [May]五月; 山楂属植物; （五朔节装饰用的）绿枝
open,英 [pn]美 [opn],adj. 敞开的，开着的; 公开的，公共的; 坦率的; 有议论余地的; vt.& vi. （打）开;
work,英 [w:k]美 [wrk],vt.& vi. 使工作; 使运作; 操作; 使产生效果; n. 工作，操作; 著作; 工厂; 行为
